OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
3001,1026    0096,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,,570000,U,1910,1980,1962,1,1200,41,1368,2017-08-13T18:01:04.000Z
3002,1026    0138,1,1,C,Brick/Concr,30,Average,0,Typical,12,,,167500,Q,1914,,1962,1,3566,42,3240,2017-08-13T18:01:04.000Z
3003,1026    0139,1,1,C,Brick/Concr,30,Average,0,Typical,12,,,,U,1921,2010,1975,1,1408,42,1440,2017-08-13T18:01:04.000Z
3004,1026    0152,1,1,C,Brick/Concr,30,Average,0,Typical,10,,,,U,1923,,1972,1,3228,49,1800,2017-08-13T18:01:04.000Z
3005,1026    0160,1,1,C,Brick/Concr,40,Good,0,Typical,12,,,375000,Q,1927,,1965,1,2403,45,956,2017-08-13T18:01:04.000Z
3006,1026    0168,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,,,U,1988,2011,1992,1,6720,81,9972,2017-08-13T18:01:04.000Z
3007,1026    0174,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,,5400000,Q,1923,2015,1992,4,6716,42,4860,2017-08-13T18:01:04.000Z
3008,1026    0175,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,,359000,Q,1921,,1960,2,3030,49,1696,2017-08-13T18:01:04.000Z
3009,1026    0176,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,,0,U,1921,,1975,1,3030,45,1697,2017-08-13T18:01:04.000Z
3010,1026    0179,1,1,C,Brick/Concr,40,Good,BR,Brick,10,,,900000,Q,1923,,1963,2,2175,42,816,2017-08-13T18:01:04.000Z
3011,1026    0829,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,,700000,Q,1921,,1965,3,1932,45,1541,2017-08-13T18:01:04.000Z
3012,1026    0832,1,1,C,Brick/Concr,30,Average,BR,Brick,12,,,185000,Q,1914,1983,1975,1,4026,42,3240,2017-08-13T18:01:04.000Z
3013,1026    0840,1,1,C,Brick/Concr,30,Average,,,,,,384400,Q,1923,,1963,1,1548,42,864,2017-08-13T18:01:04.000Z
3014,1026    0841,1,1,,,,,,,,,,0,U,2018,,0,1,0,86,5905,2017-08-13T18:01:04.000Z
3015,1026N   0802,1,1,0,Default,30,Average,0,Typical,8,0,,,U,1900,,1979,1,2528,81,4465,2017-08-13T18:01:04.000Z
3016,1027    0050,1,1,C,Brick/Concr,50,Very Good,BR,Brick,16,,,,U,1940,,1962,1,3360,62,1120,2017-08-13T18:01:04.000Z
3017,1027    0056,1,1,C,Brick/Concr,30,Average,0,Typical,16,,,0,U,1900,,1957,4,1680,62,1152,2017-08-13T18:01:04.000Z
3018,1027    0057,1,1,C,Brick/Concr,50,Very Good,BR,Brick,14,,,900000,U,1930,,1957,4,624,62,543,2017-08-13T18:01:04.000Z
3019,1027    0058,1,1,C,Brick/Concr,50,Very Good,BR,Brick,14,,,900000,U,1930,,1957,4,624,62,495,2017-08-13T18:01:04.000Z
3020,1027    0059,1,1,C,Brick/Concr,50,Very Good,BR,Brick,14,,,900000,U,1900,,1957,4,624,62,495,2017-08-13T18:01:04.000Z
3021,1027    0060,1,1,C,Brick/Concr,50,Very Good,BR,Brick,14,,,900000,U,1930,,1957,4,624,62,495,2017-08-13T18:01:04.000Z
3022,1027    0061,1,1,C,Brick/Concr,50,Very Good,BR,Brick,14,,,900000,U,1900,,1957,2,624,62,536,2017-08-13T18:01:04.000Z
3023,1027    0082,1,1,C,Brick/Concr,30,Average,0,Typical,16,,,,U,1910,,1957,1,2100,62,1068,2017-08-13T18:01:04.000Z
3024,1027    0086,1,1,10,4 Story,40,Good,BR,Brick,12,2,,640000,U,1913,2015,1987,2,4268,49,975,2017-08-13T18:01:04.000Z
3025,1027    0087,1,1,C,Brick/Concr,30,Average,0,Typical,10,,,0,U,1945,,1977,2,1611,46,975,2017-08-13T18:01:04.000Z
3026,1027    0088,1,1,C,Brick/Concr,30,Average,0,Typical,12,,,1700000,U,1940,,1972,4,1419,41,975,2017-08-13T18:01:04.000Z
3027,1027    0089,1,1,C,Brick/Concr,30,Average,0,Typical,12,,,1700000,U,1940,,1977,5,2028,41,975,2017-08-13T18:01:04.000Z
3028,1027    0097,1,1,C,Brick/Concr,3,,BR,Brick,9,1,,38500,U,1913,1993,1962,1,2107,49,1125,2017-08-13T18:01:04.000Z
3029,1027    0098,1,1,C,Brick/Concr,55,Very Good +,0,Typical,10,,,0,U,1930,,1972,1,1268,46,1125,2017-08-13T18:01:04.000Z
3030,1027    0134,1,1,C,Brick/Concr,40,Good,0,Typical,12,,,,U,1910,2008,1967,1,7332,67,3747,2017-08-13T18:01:04.000Z
3031,1027    0136,1,1,C,Brick/Concr,30,Average,0,Typical,12,,,,U,1910,1993,1972,1,2640,42,1326,2017-08-13T18:01:04.000Z
3032,1027    0139,1,1,C,Brick/Concr,40,Good,BR,Brick,12,,,,U,1912,2010,1967,1,1886,45,1840,2017-08-13T18:01:04.000Z
3033,1027    0140,1,1,C,Brick/Concr,30,Average,0,Typical,10,,,,U,1930,2010,1967,1,1220,45,1501,2017-08-13T18:01:04.000Z
3034,1027    0158,1,1,C,Brick/Concr,60,Excellent,BR,Brick,20,,,0,U,1938,2004,2004,1,53936,66,28960,2017-08-13T18:01:04.000Z
